passenger_bucket,passenger_count,payment_type,pickup_hour,total_trips,total_fare,total_tip,avg_tip_percent,tip_range
3-6,3,2,15,24723,423879.44,8.55,0.0020171,0-5%
3-6,5,1,11,24504,335658.2,80956.78,24.1188149,20%+
3-6,4,1,22,24415,361537.63,83907.09,23.2083974,20%+
3-6,3,2,16,24244,419317.1,5.21,0.0012425,0-5%
3-6,4,1,13,23979,437248.18,98800.45,22.595966,20%+
3-6,3,2,17,23861,390811.93,5.35,0.0013689,0-5%
3-6,3,2,14,23707,408446.68,8.07,0.0019758,0-5%
3-6,3,2,18,23236,346992.98,16.25,0.0046831,0-5%
3-6,3,1,1,23153,300350.28,67769.32,22.5634283,20%+
3-6,5,1,23,22808,327897.95,77038.37,23.4946178,20%+
3-6,4,1,12,22532,397949.13,90415.4,22.7203412,20%+
3-6,5,1,10,22265,298118,72142.39,24.1992734,20%+
3-6,3,2,13,21748,359203.7,0,0,0-5%
3-6,6,1,18,21599,282994.86,70124.02,24.7792557,20%+
3-6,6,1,17,21217,299591.6,74581.91,24.8945264,20%+
3-6,5,1,9,20896,284362.93,68210.75,23.9872159,20%+
3-6,6,1,15,20608,308905.01,73311.31,23.7326387,20%+
3-6,3,2,19,20566,297181.66,5.86,0.0019719,0-5%
3-6,4,1,11,20368,343754.1,79019.9,22.9873331,20%+
3-6,6,1,14,20313,301290.6,71910.56,23.8675086,20%+
3-6,3,1,7,20191,355497.4,77801.64,21.8852909,20%+
3-6,3,2,12,20061,321282.32,8.84,0.0027515,0-5%
3-6,4,1,23,19803,297611.59,68148.99,22.8986344,20%+
3-6,6,1,19,19546,254531.45,62948.24,24.7310264,20%+
3-6,6,1,16,19362,285951.71,69980.3,24.4727685,20%+
3-6,6,1,13,18549,270944.85,64667.76,23.8674992,20%+
3-6,5,1,8,18447,257718.6,60336.25,23.4116785,20%+
3-6,6,1,12,18314,263800.5,63359.43,24.017934,20%+
3-6,4,1,10,17935,299638.13,68170.82,22.7510497,20%+
3-6,3,2,11,17668,275857.46,2.66,0.0009643,0-5%
3-6,3,2,20,17583,249130.34,9.56,0.0038373,0-5%
3-6,6,1,11,17486,251074.05,60396.29,24.0551702,20%+
3-6,6,1,20,17182,225951.5,55456.46,24.5435237,20%+
3-6,6,1,21,17171,231626.05,56847.51,24.5427965,20%+
3-6,3,2,21,16630,240800.7,3.54,0.0014701,0-5%
3-6,6,1,10,16585,232511,55853.37,24.0218183,20%+
3-6,6,1,22,16405,230280.66,55302.89,24.0154297,20%+
3-6,6,1,9,16038,219043.19,52998.92,24.1956484,20%+
3-6,5,1,0,15972,228416,53749.56,23.5314339,20%+
3-6,3,1,2,15753,196856.5,43761.31,22.2300559,20%+
3-6,3,2,10,15440,242912.93,0,0,0-5%
3-6,6,1,8,14920,207522.5,48799.82,23.5154357,20%+
3-6,4,1,9,14705,251585.99,57211.18,22.740209,20%+
3-6,3,2,22,14108,206012.21,12.45,0.0060433,0-5%
3-6,4,1,0,13750,208159.2,46648.82,22.4101649,20%+
3-6,4,2,16,13425,246503.19,0,0,0-5%
3-6,6,1,23,13395,192622,45504.55,23.6237553,20%+
3-6,4,2,17,13301,231953.44,5,0.0021556,0-5%
3-6,5,1,7,13156,191356,44075.38,23.0331842,20%+
3-6,4,2,15,13060,242734.72,0,0,0-5%
